Address	Function	Source Location	Binary Location	Occurrences	Recursion in Percent	Samples	Samples in Percent	Self Samples	Self in Percent
0x0000603c2f098a9c				1	0	1	0	0	0
0x0000603c2f0d604a				1	0	1	0	0	0
0x0000603c2f10ee8b				1	0	1	0	0	0
0x0000603c2f905281	llvm::ARM::parseArch(llvm::StringRef)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2f9128f2				1	0	1	0	0	0
0x0000603c2f917ad0	llvm::Triple::Triple(llvm::Twine const&)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c319a6740	<.plt.sec+73740>		radeonsi_dri.so	1	0	1	0	1	0
0x0000603c319a67c4	<.plt.sec+737c4>		radeonsi_dri.so	1	0	1	0	1	0
0x0000603c319a7394	<.plt.sec+74394>		radeonsi_dri.so	2	0	2	0	2	0
0x0000603c319b40d9				2	0	2	0	0	0
0x0000603c319b5724				1	0	1	0	1	0
0x0000603c319b5c64				2	0	2	0	0	0
0x0000603c319b8544				3	0	3	0	0	0
0x0000603c319b8563				1	0	1	0	0	0
0x0000603c319b8b33				1	0	1	0	0	0
0x0000603c319bacdd				1	0	1	0	0	0
0x0000603c319bae5b				1	0	1	0	0	0
0x0000603c319bb037				1	0	1	0	0	0
0x0000603c319bb0dc				2	0	2	0	0	0
0x0000603c319bb505				4	0	4	0	0	0
0x0000603c319bbbb6				1	0	1	0	0	0
0x0000603c319bbe45				6	0	6	0.10000000149011612	0	0
0x0000603c319be376				2	0	2	0	0	0
0x0000603c319be8ae				2	0	2	0	0	0
0x0000603c319bea11				1	0	1	0	0	0
0x0000603c319bea41				2	0	2	0	0	0
0x0000603c319c25f5				4	0	4	0	0	0
0x0000603c319c2625				2	0	2	0	0	0
0x0000603c319c3864				1	0	1	0	1	0
0x0000603c319c3af4				1	0	1	0	1	0
0x0000603c319c73ec				1	0	1	0	0	0
0x0000603c319c7fb9				1	0	1	0	0	0
0x0000603c319c809c				1	0	1	0	0	0
0x0000603c319c8bee				2	0	2	0	0	0
0x0000603c319c8c53				1	0	1	0	1	0
0x0000603c319c8f8a				19	0	19	0.30000001192092896	0	0
0x0000603c319c8f92				6	0	6	0.10000000149011612	6	0.10000000149011612
0x0000603c319c8fc5				3	0	3	0	3	0
0x0000603c319c9004				1	0	1	0	1	0
0x0000603c319c901c				1	0	1	0	1	0
0x0000603c319c902a				6	0	6	0.10000000149011612	0	0
0x0000603c319c9049				16	0	16	0.20000000298023224	0	0
0x0000603c319c905f				63	0	63	1.100000023841858	0	0
0x0000603c319c91d1				1	0	1	0	0	0
0x0000603c319c928e				4	0	4	0	0	0
0x0000603c319c94f9				5	0	5	0	0	0
0x0000603c319c95cf				1	0	1	0	0	0
0x0000603c319c9b8e				6	0	6	0.10000000149011612	0	0
0x0000603c319c9f5f				1	0	1	0	0	0
0x0000603c319ca070				2	0	2	0	2	0
0x0000603c319ca132				1	0	1	0	1	0
0x0000603c319ca13f				1	0	1	0	1	0
0x0000603c319ca153				1	0	1	0	1	0
0x0000603c319ca160				1	0	1	0	1	0
0x0000603c319ca174				7	0	7	0.10000000149011612	0	0
0x0000603c319ca177				8	0	8	0.10000000149011612	8	0.10000000149011612
0x0000603c319cac42				2	0	2	0	2	0
0x0000603c319cac44				8	0	8	0.10000000149011612	8	0.10000000149011612
0x0000603c319cac6b				1	0	1	0	1	0
0x0000603c319cac82				14	0	14	0.20000000298023224	14	0.20000000298023224
0x0000603c319cad0c				20	0	20	0.30000001192092896	0	0
0x0000603c319cad10				1	0	1	0	1	0
0x0000603c319cad79				1	0	1	0	0	0
0x0000603c319cae3e				9	0	9	0.10000000149011612	9	0.10000000149011612
0x0000603c319cae81				1	0	1	0	0	0
0x0000603c319ccb9f				1	0	1	0	0	0
0x0000603c319ce65d				4	0	4	0	0	0
0x0000603c31a178c5				2	0	2	0	0	0
0x0000603c31a178ca				120	0	120	2.0999999046325684	0	0
0x0000603c31a17944				1	0	1	0	1	0
0x0000603c31a1794c				10	0	10	0.10000000149011612	0	0
0x0000603c31a1799c				17	0	17	0.30000001192092896	0	0
0x0000603c31a1799f				2	0	2	0	2	0
0x0000603c31a17a7c				1	0	1	0	0	0
0x0000603c31a17a9c				16	0	16	0.20000000298023224	0	0
0x0000603c31a23f46				1	0	1	0	1	0
0x0000603c31a2a9e1				98	0	98	1.7000000476837158	0	0
0x0000603c31a2aa1f				1	0	1	0	1	0
0x0000603c31a2adfb				1	0	1	0	0	0
0x0000603c31a2afa1				1	0	1	0	1	0
0x0000603c31a2affb				2	0	2	0	0	0
0x0000603c31a2b00a				77	0	77	1.399999976158142	0	0
0x0000603c31a300bc				1	0	1	0	1	0
